epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,422.484,1.04281,0.70364,0.9725,0.90342,0.80692,0.85253,0.55501,0.97799,0.95686,0.86613,0.000440067,0.000440067,0.000440067
63,429.692,1.01068,0.67192,0.97171,0.94099,0.79563,0.85524,0.55995,0.9584,0.9652,0.85598,0.000429068,0.000429068,0.000429068
64,436.231,1.04501,0.69738,0.99214,0.94621,0.80332,0.85872,0.55974,0.95823,0.96299,0.85102,0.000418069,0.000418069,0.000418069
65,443.265,1.03767,0.7109,0.98208,0.9348,0.78319,0.85927,0.56703,0.9497,0.90631,0.85472,0.00040707,0.00040707,0.00040707
66,450.122,1.00591,0.66731,0.9558,0.95497,0.79342,0.85993,0.56557,0.94827,0.91559,0.85423,0.000396071,0.000396071,0.000396071
67,457.011,0.99236,0.64739,0.9577,0.93222,0.81487,0.8602,0.55726,0.96121,0.96756,0.8574,0.000385073,0.000385073,0.000385073
68,463.72,0.98338,0.66333,0.95301,0.89541,0.80329,0.85245,0.56189,0.99141,1.0191,0.8736,0.000374074,0.000374074,0.000374074
69,470.567,0.99867,0.65986,0.95936,0.92652,0.79405,0.85263,0.56657,0.96946,1.07402,0.85926,0.000363075,0.000363075,0.000363075
70,477.422,1.02014,0.67067,0.95862,0.92608,0.81162,0.85935,0.5568,0.94691,0.95209,0.85484,0.000352076,0.000352076,0.000352076
71,484.23,0.96072,0.66,0.94545,0.90818,0.82314,0.85523,0.5678,0.94095,0.97057,0.85108,0.000341077,0.000341077,0.000341077
72,491.381,1.0087,0.66075,0.96237,0.8976,0.82905,0.86139,0.5542,0.99314,0.94463,0.8668,0.000330078,0.000330078,0.000330078
73,497.94,1.00221,0.66735,0.96384,0.9266,0.82834,0.8633,0.57508,0.9567,0.8686,0.86009,0.000319079,0.000319079,0.000319079
74,505.177,0.96044,0.63086,0.94703,0.94145,0.78947,0.8541,0.56573,0.95396,0.85531,0.85547,0.00030808,0.00030808,0.00030808
75,511.76,0.97177,0.65211,0.95124,0.93307,0.80564,0.86015,0.55771,0.96205,0.88056,0.8612,0.000297081,0.000297081,0.000297081
76,519.276,0.95755,0.63954,0.94208,0.90946,0.81489,0.85467,0.56267,0.95881,0.90045,0.85064,0.000286083,0.000286083,0.000286083
77,525.753,0.96002,0.63366,0.94632,0.92704,0.80527,0.86021,0.57491,0.9462,0.88928,0.85272,0.000275084,0.000275084,0.000275084
78,533.411,0.9577,0.65383,0.94653,0.91066,0.82008,0.85941,0.57164,0.94046,0.88782,0.84653,0.000264085,0.000264085,0.000264085
79,539.551,0.93125,0.61512,0.93233,0.94478,0.80052,0.86119,0.56847,0.9507,0.88969,0.85311,0.000253086,0.000253086,0.000253086
80,547.249,0.9839,0.65517,0.95486,0.92649,0.80902,0.86192,0.5655,0.92673,0.89668,0.85179,0.000242087,0.000242087,0.000242087
81,553.686,0.95676,0.62792,0.94295,0.93146,0.81178,0.86108,0.56732,0.9282,0.92601,0.85172,0.000231088,0.000231088,0.000231088
82,561.386,0.96632,0.65378,0.9415,0.92244,0.82239,0.86723,0.5648,0.92642,0.93105,0.84628,0.000220089,0.000220089,0.000220089
