epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,249.001,1.10738,0.80516,1.02108,0.94316,0.70427,0.76911,0.46363,1.3987,0.81448,1.14005,0.000297081,0.000297081,0.000297081
76,251.845,1.08462,0.79806,1.00141,0.69002,0.76116,0.76635,0.46504,1.40955,0.81764,1.14582,0.000286083,0.000286083,0.000286083
77,254.721,1.08914,0.7937,1.00666,0.8518,0.81376,0.83236,0.49834,1.39972,0.80988,1.14889,0.000275084,0.000275084,0.000275084
78,258.619,1.10749,0.78246,1.00987,0.80306,0.81113,0.83417,0.4955,1.41461,0.81773,1.14741,0.000264085,0.000264085,0.000264085
79,261.716,1.08573,0.80966,1.00531,0.75227,0.78405,0.78364,0.47316,1.41241,0.83626,1.14473,0.000253086,0.000253086,0.000253086
80,264.643,1.06288,0.76238,0.99948,0.78976,0.75071,0.76168,0.46657,1.37526,0.83205,1.13544,0.000242087,0.000242087,0.000242087
81,267.5,1.05755,0.73874,0.99873,0.7781,0.73392,0.76054,0.47733,1.3671,0.83021,1.13176,0.000231088,0.000231088,0.000231088
82,270.991,1.1548,0.86718,1.03943,0.69168,0.75085,0.75521,0.46526,1.4003,0.84691,1.14203,0.000220089,0.000220089,0.000220089
83,274.511,1.05895,0.77217,0.98658,0.74218,0.74545,0.76985,0.479,1.38252,0.83571,1.14453,0.00020909,0.00020909,0.00020909
84,277.448,1.06813,0.7575,1.02178,0.73827,0.74419,0.76129,0.4745,1.37905,0.85148,1.15196,0.000198091,0.000198091,0.000198091
85,280.335,1.07417,0.77357,1.00696,0.76994,0.74566,0.76085,0.47075,1.40332,0.8637,1.15402,0.000187092,0.000187092,0.000187092
